Name,MapDate,DSCI
Alabama,20141230,41
Alabama,20150106,21
Alabama,20150113,21
Alabama,20150120,46
Alabama,20150127,41
Alabama,20150203,41
Alabama,20150210,64
Alabama,20150217,86
Alabama,20150224,88
Alabama,20150303,70
Alabama,20150310,64
Alabama,20150317,60
Alabama,20150324,49
Alabama,20150331,69
Alabama,20150407,76
Alabama,20150414,70
Alabama,20150421,34
Alabama,20150428,27
Alabama,20150505,35
Alabama,20150512,47
Alabama,20150519,42
Alabama,20150526,23
Alabama,20150602,3
Alabama,20150609,3
Alabama,20150616,7
Alabama,20150623,34
Alabama,20150630,51
Alabama,20150707,31
Alabama,20150714,34
Alabama,20150721,49
Alabama,20150728,49
Alabama,20150804,80
Alabama,20150811,78
Alabama,20150818,65
Alabama,20150825,55
Alabama,20150901,54
Alabama,20150908,62
Alabama,20150915,84
Alabama,20150922,84
Alabama,20150929,68
Alabama,20151006,64
Alabama,20151013,82
Alabama,20151020,97
Alabama,20151027,69
Alabama,20151103,36
Alabama,20151110,9
Alabama,20151117,12
Alabama,20151124,6
Alabama,20151201,0
Alabama,20151208,0
Alabama,20151215,5
Alabama,20151222,0
Alabama,20151229,0
Alabama,20160105,0
Alabama,20160112,0
Alabama,20160119,0
Alabama,20160126,0
Alabama,20160202,0
Alabama,20160209,0
Alabama,20160216,0
Alabama,20160223,0
Alabama,20160301,0
Alabama,20160308,0
Alabama,20160315,0
Alabama,20160322,0
Alabama,20160329,2
Alabama,20160405,0
Alabama,20160412,0
Alabama,20160419,0
Alabama,20160426,9
Alabama,20160503,15
Alabama,20160510,23
Alabama,20160517,50
Alabama,20160524,61
Alabama,20160531,83
Alabama,20160607,102
Alabama,20160614,117
Alabama,20160621,109
Alabama,20160628,115
Alabama,20160705,129
Alabama,20160712,124
Alabama,20160719,122
Alabama,20160726,117
Alabama,20160802,130
Alabama,20160809,112
Alabama,20160816,107
Alabama,20160823,88
Alabama,20160830,88
Alabama,20160906,92
Alabama,20160913,123
Alabama,20160920,126
Alabama,20160927,154
Alabama,20161004,174
Alabama,20161011,229
Alabama,20161018,289
Alabama,20161025,316
Alabama,20161101,342
Alabama,20161108,350
Alabama,20161115,388
Alabama,20161122,415
Alabama,20161129,429
Alabama,20161206,392
Alabama,20161213,383
Alabama,20161220,352
Alabama,20161227,352
Alabama,20170103,217
Alabama,20170110,210
Alabama,20170117,210
Alabama,20170124,143
Alabama,20170131,143
Alabama,20170207,143
Alabama,20170214,145
Alabama,20170221,169
Alabama,20170228,154
Alabama,20170307,149
Alabama,20170314,129
Alabama,20170321,136
Alabama,20170328,140
Alabama,20170404,113
Alabama,20170411,106
Alabama,20170418,139
Alabama,20170425,128
Alabama,20170502,110
Alabama,20170509,86
Alabama,20170516,90
Alabama,20170523,24
Alabama,20170530,12
Alabama,20170606,7
